Student number,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Assignment 6,Assignment 7,Assignment 8,Test 1,Test 2,Test 3,Test 4
,15,20,20,10,10,20,15,15,35,30,35,45
31713386,11,16,14,8,8,16,9,12,,25,32,41
31799337,,10,11,5,,10,8,8,18,16,18,24
31708463,5,9,,5,5,8,7,8,10,17,18,22
31708307,8,10,9,5,,10,7,,18,14,,22
31754937,,11,15,6,,11,9,8,21,20,22,25
31796370,8,9,9,6,6,12,7,10,16,16,14,18
31702000,9,12,12,,6,,,9,20,18,21,27
31799728,10,13,14,7,7,12,11,,20,20,20,27
31796680,,14,12,6,6,13,9,9,20,20,,
31788890,12,20,19,,9,20,13,13,32,26,28,42
31717349,10,11,12,7,7,14,9,10,,17,23,28
31767028,7,10,10,5,5,10,,7,15,15,16,23
31707920,4,6,5,2,3,5,4,4,10,8,9,11
31790747,8,7,6,2,3,9,7,7,10,11,17,15
31790510,6,10,12,5,5,11,7,7,13,12,18,17
31763545,9,8,16,4,4,14,6,8,26,,16,13
31752934,2,4,,4,3,8,,,13,7,12,13
31764150,7,11,12,5,7,13,8,,,14,20,26
31708889,,14,13,6,7,11,10,11,22,19,22,26
31717853,12,19,,8,9,16,12,12,,24,27,36
31711359,,,18,9,9,20,14,15,34,27,30,41
31790674,7,,10,3,4,6,6,,14,12,19,24
31703429,8,17,12,6,,13,7,9,19,13,20,37
31725244,7,11,9,,6,10,,,13,13,19,16
31752910,7,,9,4,4,8,,6,,13,15,16
31782361,9,14,14,6,6,,,11,24,23,24,31
31755224,6,10,9,4,5,11,5,8,19,18,20,28
31747860,,14,11,5,4,11,10,10,,25,20,
31770509,6,8,9,4,4,9,5,7,14,12,16,
31774450,11,16,15,7,8,15,12,10,23,23,26,28
31721710,10,12,12,6,7,12,8,10,20,20,19,27
31759033,11,,14,7,8,14,,11,24,,25,35
31707084,8,,9,3,5,7,,7,14,12,12,21
31794297,10,9,12,7,5,11,9,7,22,13,23,21
31705766,8,11,,5,6,12,7,9,20,17,20,
31782140,12,16,18,9,,15,,12,31,23,,42
31718240,7,,10,,4,10,8,7,18,15,19,23
31708013,8,7,8,5,3,7,6,7,16,14,17,22
31748449,9,14,14,7,8,13,10,11,22,,26,28
31741371,9,11,11,5,6,11,,8,,,21,27
31740650,10,10,15,7,7,13,10,10,24,14,26,34
31779727,9,12,12,6,6,,9,9,21,,21,28
31754740,3,5,,4,2,6,4,5,9,9,9,
31782671,5,10,,4,4,10,6,7,,12,17,
31784340,6,8,7,4,4,7,5,6,14,12,14,17
31796915,4,5,8,1,2,8,3,5,8,8,15,12
